symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
PFC,2026-05-26 03:35:06,25.02,48.266706959074426,3.1746031746031744,44.352609976304805,0.0,34.44444444444444,0.0,POOR
PIDILITIND,2026-05-26 03:35:11.145405+00:00,46.86,48.25051804524262,3.1746031746031744,99.70749303586798,67.37931207019699,41.11111111111111,0.0,WEAK
PIDILITIND,2026-05-26 03:35:06,46.86,48.25051804524262,3.1746031746031744,99.70749303586798,67.37931207019699,41.11111111111111,0.0,WEAK
PNB,2026-05-26 03:35:11.145405+00:00,38.58,50.0,3.1746031746031744,75.21926222936571,47.33178643575982,33.05555555555556,0.0,WEAK
PNB,2026-05-26 03:35:06,38.58,50.0,3.1746031746031744,75.2192622293657,47.33178643575982,33.05555555555556,0.0,WEAK
POWERGRID,2026-05-26 03:35:11.145405+00:00,47.99,48.32067000518045,3.1746031746031744,91.04499560339795,82.69081689605521,46.666666666666664,0.0,WEAK
POWERGRID,2026-05-26 03:35:06,47.99,48.32067000518045,3.1746031746031744,91.04499560339796,82.69081689605521,46.66666666666666,0.0,WEAK
RECLTD,2026-05-26 03:35:11.145405+00:00,31.63,48.33577965809014,3.1746031746031744,55.749362902576785,27.47849493789855,36.388888888888886,0.0,POOR
RECLTD,2026-05-26 03:35:06,31.63,48.33577965809014,3.1746031746031744,55.74936290257677,27.47849493789855,36.388888888888886,0.0,POOR
RELIANCE,2026-05-26 03:35:11.145405+00:00,49.68,48.246201001554134,3.1746031746031744,97.06541456512062,96.5575228713589,30.833333333333336,0.0,WEAK
RELIANCE,2026-05-26 03:35:06,49.68,48.24620100155413,3.1746031746031744,97.06541456512062,96.5575228713589,30.833333333333336,0.0,WEAK
SBILIFE,2026-05-26 03:35:11.145405+00:00,67.61,48.22677430495597,100.0,100.0,65.37474262027649,31.944444444444443,25.53191489361702,AVERAGE
SBILIFE,2026-05-26 03:35:06,67.61,48.22677430495597,100.0,100.0,65.37474262027649,31.944444444444443,25.53191489361702,AVERAGE
SBIN,2026-05-26 03:35:11.145405+00:00,37.8,48.211664652046274,3.1746031746031744,50.0,78.72010747635274,33.05555555555556,0.0,WEAK
SBIN,2026-05-26 03:35:06,37.8,48.211664652046274,3.1746031746031744,50.0,78.72010747635274,33.05555555555556,0.0,WEAK
SHREECEM,2026-05-26 03:35:11.145405+00:00,46.04,48.25051804524262,3.1746031746031744,99.458147989574,68.0217721838304,32.5,0.0,WEAK
SHREECEM,2026-05-26 03:35:06,46.04,48.25051804524262,3.1746031746031744,99.458147989574,68.0217721838304,32.5,0.0,WEAK
SHRIRAMFIN,2026-05-26 03:35:11.145405+00:00,37.72,48.25807287169746,3.1746031746031744,73.31994288505739,46.06901528589547,34.44444444444444,0.0,WEAK
SHRIRAMFIN,2026-05-26 03:35:06,37.72,48.25807287169746,3.1746031746031744,73.31994288505739,46.06901528589547,34.44444444444444,0.0,WEAK
SIEMENS,2026-05-26 03:35:11.145405+00:00,46.05,48.24188395786565,3.1746031746031744,99.8778025309537,67.5191323660843,32.5,0.0,WEAK
SIEMENS,2026-05-26 03:35:06,46.05,48.24188395786565,3.1746031746031744,99.8778025309537,67.5191323660843,32.5,0.0,WEAK
